study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	0.0	hr	2.5	0.0				EMA	0.0	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	8.0	hr	2.5	3.3059929513559184e-05	239.498452810727	1.6695364849748014e-05	2.2310119719623474e-06	EMA	7.88447653429603	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	12.0	hr	2.5	4.5709353627619e-05	295.023207839092	1.5581090539224147e-05	2.0821108039314832e-06	EMA	24.2599277978339	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	24.0	hr	2.5	4.9471368697644777e-05	320.274626095926	1.7065003923912343e-05	2.2804070709725944e-06	EMA	47.913357400722	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	48.0	hr	2.5	4.581515611623847e-05	297.318205260443	1.5952068885396094e-05	2.131684870691761e-06	EMA	72.1732851985559	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	72.0	hr	2.5	4.364285691952014e-05	288.647498710676	1.6323047231568245e-05	2.181258937452039e-06	EMA	96.4332129963899	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	96.0	hr	2.5	3.5533564912041834e-05	231.756059824652	1.261326376984818e-05	1.6855182698493058e-06	EMA	120.086642599278	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	168.0	hr	2.5	2.896309644157309e-05	189.414646725116	1.03873936928161e-05	1.3880738692876575e-06	EMA	168.606498194946	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	336.0	hr	2.5	1.1527114171488993e-05	69.778236204229	2.969166041383813e-06	3.967715018322178e-07	EMA	336.606498194946	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad2_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad2_5	672.0	hr	2.5	2.9972907535485312e-06	19.7846828261991	1.1129350385160197e-06	1.4872220028082153e-07	EMA	673.819494584838	mole/meter^3	ng/ml
